ID,Area,Location,No_of_Bedrooms,New/Resale,Gymnasium,Lift_Available,Car_Parking,Maintenance_Staff,24x7_Security,Children_Play_Area,Clubhouse,Intercom,Landscaped_Gardens,Indoor_Games,Gas_Connection,Jogging_Track,Swimming_Pool,Price
0,720,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4850000
1,600,Kharghar,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,4500000
2,650,Kharghar,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,6700000
3,650,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,4500000
4,665,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,5000000
5,2000,Kharghar,4,0,1,1,1,1,1,1,1,1,1,0,0,1,1,17000000
6,1550,Kharghar,3,0,0,1,1,1,1,0,0,1,1,0,1,0,0,12500000
7,1370,Sector-13 Kharghar,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0,10500000
8,1356,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1,10500000
9,1680,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,15000000
10,980,Kharghar,2,0,1,1,1,1,1,0,1,1,0,1,0,1,1,8700000
11,1000,Kharghar,2,0,1,1,1,1,1,1,0,1,1,0,0,0,0,9000000
12,1060,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1,11000000
13,1095,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,0,1,10500000
14,1155,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1,9700000
15,1150,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1,10500000
16,1250,Sector 18 Kharghar,2,0,1,1,1,1,1,1,0,1,1,0,1,0,0,8000000
17,990,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,8500000
18,1078,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,9300000
19,1150,Kharghar,2,0,1,1,1,1,1,1,1,1,0,0,0,1,1,9900000
20,1150,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1,8000000
21,1060,Kharghar,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1,9000000
22,680,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,4200000
23,2470,Kharghar,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,28000000
24,2100,Kharghar,4,0,0,1,1,1,1,0,0,1,0,0,0,0,0,40000000
25,2200,Kharghar,4,0,1,1,1,1,1,1,1,1,1,0,0,1,1,16000000
26,2235,Kharghar,4,0,1,1,1,1,1,1,1,1,0,1,0,1,1,17000000
27,1025,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,9500000
28,950,Kharghar,2,0,1,1,1,1,1,0,1,1,0,0,0,1,1,9500000
29,895,Kharghar,2,0,0,1,1,1,1,0,0,1,0,0,0,1,0,7500000
30,1114,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,8500000
31,1197,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1,13000000
32,1380,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1,13700000
33,1050,Kharghar,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,8000000
34,1240,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,10500000
35,1110,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1,7700000
36,1050,Kharghar,2,0,0,1,1,1,1,0,0,1,0,0,0,1,0,7500000
37,1160,Kharghar,2,0,1,1,1,1,1,0,1,1,1,0,1,1,1,9000000
38,555,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,6000000
39,650,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,6200000
40,600,Kharghar,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,5000000
41,650,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,6500000
42,700,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,5200000
43,646,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,4200000
44,560,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,5500000
45,670,Kharghar,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,5500000
46,740,Kharghar,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,6000000
47,636,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,5500000
48,680,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4200000
49,1635,Kharghar,3,0,1,1,1,1,1,1,0,1,1,0,0,0,1,16500000
50,1550,Kharghar,3,0,1,1,1,1,1,1,0,1,1,0,0,1,0,11399999
51,1500,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1,13500000
52,1850,Kharghar,3,0,1,1,1,1,1,1,1,1,1,0,0,1,1,22500000
53,2100,Kharghar,4,0,1,1,1,1,1,1,1,1,0,0,0,0,1,40000000
54,610,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,5700000
55,655,Kharghar,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,4800000
56,660,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4500000
57,650,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4300000
58,680,Kharghar,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,4500000
59,670,Kharghar,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,5300000
60,655,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4803000
61,1800,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1,13000000
62,1645,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1,15500000
63,1395,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1,13000000
64,1150,Kharghar,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1,8500000
65,1200,Kharghar,2,0,1,1,1,1,1,1,1,0,1,0,0,1,1,9400000
66,615,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4500000
67,670,Kharghar,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,5300000
68,765,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,6000000
69,650,Kharghar,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,5600000
70,1760,Kharghar,3,0,1,1,1,1,1,1,1,0,0,0,0,1,1,17500000
71,1415,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,12000000
72,1685,Kharghar,3,0,1,1,1,1,1,1,1,0,1,1,1,1,1,15000000
73,1800,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1,13000000
74,1650,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1,16600000
75,1395,Kharghar,3,0,1,1,1,1,1,1,1,0,0,0,0,1,1,13000000
76,1200,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1,9400000
77,650,Kharghar,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,5700000
78,560,Kharghar,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,5500000
79,765,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,6000000
80,650,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,5600000
